simTime,simVehicleCount,simVehicleMeanSpeed
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,0,0
4,0,0
4.5,0,0
5,0,0
5.5,0,0
6,0,0
6.5,0,0
7,0,0
7.5,0,0
8,0,0
8.5,0,0
9,0,0
9.5,0,0
10,0,0
10.5,0,0
11,0,0
11.5,0,0
12,0,0
12.5,0,0
13,0,0
13.5,0,0
14,1,42.9558879
14.5,1,42.95266394
15,1,42.9526094
15.5,1,42.96354092
16,1,42.96731084
16.5,1,42.95962008
17,1,42.96178932
17.5,1,42.96677483
18,1,42.9540468
18.5,1,42.95576737
19,1,42.96199255
19.5,2,35.49796646
20,2,35.49584645
20.5,2,35.50174588
21,2,35.50302793
21.5,2,35.50349384
22,2,35.49679367
22.5,2,35.49491042
23,3,34.7496617
23.5,4,35.67677845
24,4,35.67894375
24.5,4,35.67607731
25,4,35.67584449
25.5,4,35.67916713
26,4,35.67678434
26.5,4,35.67990306
27,4,35.67295983
27.5,4,35.6727093
28,4,35.67617006
28.5,4,35.67589582
29,4,35.67546758
29.5,4,35.6767982
30,4,35.67169676
30.5,4,35.67584763
31,4,35.67564912
31.5,4,35.67306724
32,4,35.67886975
32.5,4,35.67605568
33,4,35.67255233
33.5,4,35.67756201
34,4,35.6717826
34.5,4,35.67478534
35,4,35.67559352
35.5,5,36.81018782
36,5,36.81211014
36.5,5,36.81218741
37,5,36.80994742
37.5,5,36.81082794
38,5,36.81011581
38.5,5,36.8140177
39,5,36.81162712
39.5,5,36.81426951
40,5,36.81194293
40.5,5,36.80997285
41,5,36.81259233
41.5,5,36.81133722
42,5,36.81031363
42.5,5,36.81022151
43,5,36.81312831
43.5,5,36.81274777
44,5,36.81257693
44.5,5,36.81034664
45,5,36.81024403
45.5,5,36.8096578
46,5,36.81338068
46.5,5,36.80942459
47,5,36.80880946
47.5,5,36.81128551
48,5,36.81082016
48.5,5,36.80947399
49,6,34.06056889
49.5,6,34.05669187
50,6,34.0610355
50.5,6,34.05950017
51,6,34.05857864
51.5,6,34.03839087
52,6,33.84726387
52.5,6,33.65741615
53,6,33.47387503
53.5,6,33.30153178
54,6,33.12603593
54.5,7,33.36672353
55,7,33.23239225
55.5,7,33.09748038
56,7,32.97194989
56.5,7,32.85350148
57,7,32.73641229
57.5,7,32.62823753
58,7,32.52311774
58.5,7,32.54105742
59,7,32.74334023
59.5,7,32.9303342
60,7,33.11820779
60.5,7,33.30950418
61,8,32.34164968
61.5,8,32.50332064
62,8,32.66888418
62.5,8,32.8281552
63,8,32.99387372
63.5,8,33.05507349
64,8,33.0529757
